اسم الأكله,وقت الوجبة,عدد الاشخاص,الوقت,السعرات الحرايه,المقادير,التحضير,الصورة
      شيش طاووق لذيذ          ,غداء,    6 أشخاص    ,    40 دقيقة    ,    186 سعرة حرارية    ,"      نص كيلو دجاج مخلي مقطع مكعبات ويفضل الأوراك طبعاً  ,   كوب زبادي  ,   ملعقتين مسطردة  ,   بصلة مفرومة  ,   ٦ فصوص ثوم مهروسين  ,   ملعقتين زعتر  ,   ملعقة صلصة طماطم  ,   ملح وفلفل  ,   رشه كركم  ,   ملعقتين زيت زيتون  ,   ملعقه سماق  ,   عصير ليمون او ملعقة خل      ","      تبلي قطع ومكعبات الدجاج بالتتبيلة بعد ما نخلطها كلها مع بعضها واتركيه في التتبيلة ليلة كاملة أو على الأقل 6 ساعات  ,   انقعي الأسياخ الخشبية في مياه لمدة ساعة لمنعها من الاحتراق ثم تغرز فيها قطع الدجاج  ,   ضعي بالتبادل مع الدجاج فلفل أخضر وطماطم وبصل مقطعين مكعبات  ,   يمكنكِ تشويهم علي الجريل ويمكنكِ وضعهم على البوتجاز من فوق وقومي بتغطيتهم قليلاً حتي يتصفي الدهون.  ,   ادخليهم الفرن وبعد نصف ساعة ارفعي الغطاء واتركيهم حتي يتحمر الوجه من أعلي .    ",https://www.supermama.me/system/App/Entities/Recipe/images/000/032/735/mobile-watermarked-large-card/%25D9%2588%25D8%25B5%25D9%2581%25D8%25A9-%25D8%25A7%25D9%2584%25D8%25B4%25D9%258A%25D8%25B4-%25D8%25B7%25D8%25A7%25D9%2588%25D9%2588%25D9%2582.jpg
      مكرونة بالدجاج والمشروم          ,غداء,    4 أشخاص    ,    30 دقيقة    ,    867 سعرة حرارية    ,"           كيس مكرونة بالشكل الذي تفضلينه  ,       ربع كيلو مشروم طازج أو علبة مشروم محفوظ  ,       نصف كيلو دجاج مخلي صدور أو أوراك حسب الرغبة أو الاثنين  ,        فلفل ملون أو ثمرة من كل لون أحمر وأصفر وبرتقالي وأخضر  ,        علبة ذرة  ,        2 ملعقة دقيق  ,        2 ملعقة زيت كوب ونصف حليب  ,        كيس مكرونة بالشكل الذي تفضلينه  ,        ربع كيلو مشروم طازج أو علبة مشروم محفوظ  ,       نصف كيلو دجاج مخلي صدور أو أوراك حسب الرغبة أو الاثنين  ,        فلفل ملون أو ثمرة من كل لون أحمر وأصفر وبرتقالي وأخضر  ,       علبة ذرة  ,        2 ملعقة دقيق  ,         2 ملعقة زيت  ,        كوب ونصف حليب      ","       اسلقي المكرونة، وأضيفي بعض الملح وملعقة زيت للماء  ,   قطعي المشروم إلى حلقات رفيعة، والفلفل الملون إلى حلقات رفيعة وقصيرة  ,    قطعي الدجاج إلى مكعبات وتبليه بالملح والفلفل والليمون والبهارات واتركيه لمدة ساعة، ثم رشي عليه ملعقة دقيق.  ,    شوحي المشروم في ملعقة زيت على نار متوسطة في مقلاة عميقة ثم ارفعيه وفي المقلاة نفسها أضيفي ملعقة زيت أخرى وشوحي الدجاج ثم ارفعيه.  ,     في نفس المقلاة بعد الانتهاء، ضعي ملعقة زيت ثانية ثم ملعقة دقيق وحمريها قليلًا ثم أضيفي الحليب وقلبي مثلما تعدين البشمايل ولكن اجعلي الصوص خفيفًا أكثر من البشاميل  ,    أضيفي الدجاج والمشروم والفلفل والذرة على الصوص ثم المكرونة وقلبي جيدًا.  ,    قدميها وزينيها بمبشور جبن الموتزاريلا أو الشيدر.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/051/487/mobile-watermarked-large-card/%25D9%2585%25D9%2583%25D8%25B1%25D9%2588%25D9%2586%25D8%25A9-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25AF%25D8%25AC%25D8%25A7%25D8%25AC-%25D9%2588-%25D8%25A7%25D9%2584%25D9%2585%25D8%25B4%25D8%25B1%25D9%2588%25D9%2585.jpg
      اللازانيا الكسولة          ,غداء,    4 أشخاص    ,    30 دقيقة    ,    427.1 سعرة حرارية    ,"      ٢ ملعقة كبيرة زيت   ,   خضروات   ,   ١/٢ كوب بصل مفروم   ,   ٢ جزر مبشورة   ,   ١ فص ثوم   ,   ١ ملعقة صغيرة ريحان جاف   ,   ١ ملعقة صغيرة زعتر جاف ملح وفلفل   ,   ١ عبوة رافيولي مجمدة   ,   ١ برطمان صلصة مكرونة جاهزة  ,    ٢٥٠ جرام جبن جودة شرائح   ,   ١/٢ كوب جبن بارميزان مبشورة      ","      سخني الفرن.   ,   سخني الزيت في إناء يصلح للإستخدام في الفرن على نار مرتفعة.   ,   حمري البصل والجزر والثوم والأعشاب حتى يصبح البصل شفاف لمدة ٣ دقائق حثم احفظي الخليط جانبا.   ,   قومي برص الرافيولي المجمد في الاناء وانثري عليه خليط البصل.   ,   فرغي صوص المكرونة عليه بالتساوي.   ,   سخني الإناء على نار متوسطة بدون تقليب حتى يصبح الرفيولي بني اللون من الأسفل، حوالي ١٠ دقائق.   ,   ارفعي الاناء عن النار ثم افردي عليه قطع الجبن .   ,   اطبخي اللازانيا في وسط الفرن لمدة ١٠ دقائق حتى تذوب الجبن      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/020/399/mobile-watermarked-large-card/%25D9%2588%25D8%25B5%25D9%2581%25D8%25A9-%25D8%25A7%25D9%2584%25D9%2584%25D8%25A7%25D8%25B2%25D8%25A7%25D9%2586%25D9%258A%25D8%25A7-%25D8%25A7%25D9%2584%25D9%2583%25D8%25B3%25D9%2588%25D9%2584%25D8%25A9_0.jpg
      المكرونة بالبشاميل          ,غداء,    8 أشخاص    ,    60 دقيقة    ,    379.81 سعرة حرارية    ,"      ½ كيلوجرام (500 جم) مكرونة مقصوصة  ,   3 ملعقة كبيرة (30 جم) دقيق  ,   لتر (1000 مل) حليب  ,   ملعقة كبيرة (12.5 جم) سمن أو زبد  ,   ¼ كيلوجرام (250 جم) عصاج اللحم المفروم  ,   2 ملعقة كبيرة (25 جم) جبن مبشور مشكل      ","      في إناء على النار، سخني السمن جيدًا.  ,   أضيفي الدقيق وقلبيه لمدة 2-3 دقائق، واحرصي على ألا يصبح لونه بنيًّا.  ,   أضيفي الحليب تدريجيًّا مع التقليب المستمر حتى يتماسك قوام الخليط.  ,   أضيفي الجبن وقلبيه، ثم ارفعي الإناء عن النار.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/011/207/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D8%25A7%25D9%2584%25D9%2585%25D9%2583%25D8%25B1%25D9%2588%25D9%2586%25D8%25A9-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B4%25D8%25A7%25D9%2585%25D9%258A%25D9%2584.jpg
      أرز بالكبد والقوانص          ,غداء,    4 أشخاص    ,    40 دقيقة    ,    624 سعرة حرارية    ,"      نصف كيلو كبد وقوانص  ,   2 كوب أرز  ,   2 كوب ماء  ,   مكعب مرق دجاج  ,   بصلة مبشورة  ,   ملح وفلفل أسود  ,   كمون وبهارات حسب الرغبة  ,   ملعقة زبد  ,   فص ثوم  ,   نصف ليمونة  ,   مكسرات وصنوبر حسب الرغبة      ","      ضعي الزبد على النار، ثم أضيفي البصل وشوحيه ثم الثوم المفروم وقلبيه حتى يصبح لونهما ذهبيًا  ,   أضيفي الكبد والقوانص وقلبي بحرص حتى لا تتقطع  ,   قسمي الكمية لنصفين جزء للزينة وجزء اتركيه في الوعاء نفسه  ,   أضيفي التوابل والبهارات والليمون مع كوبين من الماء ومكعب مرق الدجاج  ,   اتركي المزيج يغلي  ,   ضعي الأرز وقلبي واتركيه على نار متوسطة حتى يغلي ثم اتركيه على نار هادئة جدًا حتى ينضج  ,    في وعاء آخر حمري المكسرات والصنوبر للزينة  ,   قدميه ساخنًا وزينيه بالكبد والقوانص والمكسرات بجانب سلاطة خضراء أو أي نوع من أنواع السلاطات والمخللات أو بجانب طبق رئيسي آخر.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/051/488/mobile-watermarked-large-card/%25D8%25A3%25D8%25B1%25D8%25B2-%25D8%25A8%25D8%25A7%25D9%2584%25D9%2583%25D8%25A8%25D8%25AF-%25D9%2588%25D8%25A7%25D9%2584%25D9%2582%25D9%2588%25D8%25A7%25D9%2586%25D8%25B5_0.jpg
      دجاج كنتاكي          ,غداء,    6 أشخاص    ,    60 دقيقة    ,    205 سعرة حرارية    ,"      8 أكواب ماء  ,   ⅓ كوب ملح  ,   2 معلقة كبيرة صويا صوص      ","      اخلطي الماء و الصويا و ثلث كوب ملح ، قم بتقطيع قطع الدجاج وضعها لمدة ساعتين.  ,   قومي بإزالة الجلد ثم ضع الدجاج فى مكان جاف.  ,   شغلي الفرن على درجة حرارة 375 درجة.  ,   اخلطي المكونات التتبيل معا>  ,   في وعاء منفصل اخلط البيض و اللبن.  ,   ضعي قطع الدجاج فى خليط البيض و اللبن ثم ضعيه فى تتبيلة الدقيق .  ,   تأكدي أن الدجاج مغطى جيدا بالتتبيلة، واتركه لمدة 3 دقائق.  ,   فى صينية مع قليل من الزيت ضع الدجاج وضعيها في الفرن.  ,   لمدة 40 دقيقة حتى تأخذ اللون الذهبي.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/043/152/mobile-watermarked-large-card/Untitled%20design%20%2850%29.jpg
      صينية بطاطس بالفراخ          ,غداء,    4 أشخاص    ,    45 دقيقة    ,    274 سعرة حرارية    ,"      كيلو بطاطس  ,   دجاجة مقطعة إلى أربع قطع أو ثماني قطع  ,   4 جزرات (اختياري)  ,   ليمونة  ,   2 بصلة كبيرة مقطعة شرائح  ,   6 فصوص ثوم كبيرة  ,   ملح وفلفل أسود وكمون وبهارات وورق لاورى  ,   2 كوب مرقة دجاج أو ماء إن لم تقومي بسلق الدجاج قبلها  ,   ملعقة زبد      ","      تبلي الدجاج بالبصل والثوم والبهارات والملح والفلفل والليمون لساعة تقريبًا  ,   قطعي البطاطس والجزر إلى شرائح متوسطة السمك  ,    اخلطيها مع خلطة الخضار والتتبيلة واتركيها لعشر دقائق  ,   رصيها في صينية بحيث يكون الخضار في الأسفل والدجاج أعلاه  ,    أذيبي الزبد في المرق أو اغلي الماء وأضيفي إليه مع مكعب مرق دجاج  ,    أضيفي السوائل واتركي الصينية على النار لعشر دقائق حتى تغلي  ,    أدخليها فرن متوسط الحرارة لمدة ساعة حتى تنضج وتابعيها إن احتاجت بعض الماء أوالمرق  ,   قدميها مع الأرز الأبيض      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/051/484/mobile-watermarked-large-card/%25D8%25B5%25D9%258A%25D9%2586%25D9%258A%25D8%25A9-%25D8%25A8%25D8%25B7%25D8%25A7%25D8%25B7%25D8%25B3-%25D8%25A8%25D8%25A7%25D9%2584%25D9%2581%25D8%25B1%25D8%25A7%25D8%25AE.jpg
      دجاج تكا مشوي          ,غداء,    8 أشخاص    ,    60 دقيقة    ,    66 سعرة حرارية    ,"      دجاجتين كبيرتين مغسولتين و مقطعتين الى اربع قطع .. و منزوعة الجلد .   ,   كوب من الزبادي خالي الدسم   ,   ملعقتين كبيرتين من الزعتر الجاف   ,   ملعقتين كبيرتين من البابريكا   ,   ملعقة كبيرة من الزنجبيل المبشور   ,   ملعقتين كبيرة من الثوم المدقوق ناعما   ,   4 ملاعق كبيرة من الخل   ,   ملعقة صغيرة من مسحوق الحبهان  ,   ملعقة صغيرة من مسحوق الكمون   ,   ملعقة صغيرة من مسحوق الكزبرة الجافة   ,   ملح و فلفل حسب الرغبة   ,   4 ملاعق كبيرة من صلصة الطماطم   ,   ملعقتين كبيرتين من زيت الزيتون      ","      تشرح قطع الدجاج بواسطة سكين حاد , الى ان تصل السكين الى العظم بالطول و بالعرض لمساعدتها على التشرب من التتبيلة و سهولة النضج.  ,   تمزج مكونات التتبيلة مع بعض لى ان تتجانس و تترك ترتاح مدة 15 دقيقة لتتناغم النكهات .  ,   تتبل قطع الدجاج بالتتبيلة المحضرة و تدعك جيدا , ثم توضع في وعاء زجاجي و تترك ترتاح ليلة كاملة ( او على الاقل 3 ساعات ) .  ,   تشوى في فرن حار على شبك او صينية مغلفة بورق الخبيز الى ان تتحمر مدة 45-5  ,   0 دقيقة . انصح بتغطيتها بورق الفويل , بعد خروجها من الفرن مباشرة لاعادة توزيع السوائل بداخلها و طراوتها .      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/027/919/mobile-watermarked-large-card/%D8%AF%D8%AC%D8%A7%D8%AC-%D8%AA%D9%83%D8%A7-%D9%85%D8%B4%D9%88%D9%8A.jpg
      ديك رومي مشوي في الفرن          ,غداء,    6 أشخاص    ,    180 دقيقة    ,    400 سعرة حرارية    ,"      ديك كامل (6 – 8 كيلوجرامات).  ,   كوب (200 جم) زبد مُذاب.  ,   كوب (250 مل) عصير برتقال.  ,   بصلة كبيرة مقطعة شرائح رفيعة.  ,   3 ثمرات كرفس مقطعة شرائح.  ,   2 ملعقة كبيرة (25 جم) زعتر طازج مفروم.  ,   2 ملعقة كبيرة (25 جم) روزماري طازج مفروم.  ,   ملعقة كبيرة (12.5 جم) ثوم مفروم.  ,   ملعقة صغيرة (5 جم) بابريكا.  ,   ملعقة صغيرة (5 جم) السبعة بهارات.  ,   ملعقة صغيرة (5 جم) كاري.  ,   ملح وفلفل أسود.      ","      في وعاء كبير، ضعي الماء والسكر والملح وعصير ثمرة الليمون مع القشر الخاص بها، وقلبي جيدًا.  ,   اغسلي الديك تحت الماء الجاري جيدًا من الداخل والخارج، ثم ضعيه في ماء النقع، واتركيه لمدة 90 دقيقة جانبًا.  ,   ارفعي الديك من ماء النقع، واغسليه جيدًا تحت الماء الجاري، ثم اتركيه جانبًا.  ,   سخني الفرن عند درجة حرارة 220 درجة مئوية لمدة 30 دقيقة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/627/mobile-watermarked-large-card/113627_1639386633.jpg
      لفائف الباذنجان بالمكرونة          ,غداء,    6 أشخاص    ,    30 دقيقة    ,    401 سعرة حرارية    ,"      كيس مكرونة إسباجتي مسلوقة (400 جم).  ,   3 ثمرات باذنجان مقطعة شرائح طولية.  ,   ½ 1 كوب (300 جم) جبن موتزاريلا أو شيدر مبشور.  ,   2 ملعقة كبيرة (30 مل) زيت نباتي.  ,   4 ثمرات طماطم مقشرة ومقطعة.  ,   بصلة مفرومة ناعمًا.  ,   2 فص ثوم مفرومان ناعمًا.  ,   2 ملعقة كبيرة (20 جم) صلصة طماطم.  ,   ملح وفلفل أسود.  ,   بقدونس مفروم للتزيين.      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   سخني ملعقة من الزيت على نار هادئة، ثم حمري شرائح الباذنجان على الجانبين وارفعيها عن النار.  ,   سخني ملعقة الزيت الأخرى في قدر آخرـ ثم أضيفي البصل وقلبي حتى يكتسب لونًا ذهبيًّا.  ,   أضيفي الثوم و قلبي، ثم أضيفي الطماطم والصلصة والملح والفلفل الأسود، وقلبي مرة أخرى، واتركي المكونات على النار حتى تتسبك الصلصة.  ,   اخلطي نصف مزيج الصلصة مع المكرونة المسلوقة في وعاء مناسب، واحشي شرائح الباذنجان بالمكرونة ولفيها، وثبتيها بأعواد أسنان.  ,   ادهني صينية فرن بجزء من مزيج الصلصة، ثم رصي لفائف الباذنجان بالمكرونة في، وغطيها بباقي مزيج الصلصة.  ,   وزعي الجبن الموتزاريلا أو الشيدر على الوجه، وأدخلي الصينية الفرن مدة 15 دقيقة ثم أخرجيها.  ,   ضعي لفائف الباذنجان بالمكرونة في طبق التقديم، وزينيها بالبقدونس.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/655/mobile-watermarked-large-card/113655_1639396625.jpg
