index,name,time,no_of_ppl,prep_time,caloaries,main_component,ingredients,prep,img_link
0,      شيش طاووق          ,غداء,6,40,186,دجاج ,"      500 جم دجاج مخلي مقطع مكعبات ويفضل الأوراك طبعاً  ,   70 جم زبادي  ,   2 معلقة   مسطردة  ,   1 بصلة مفرومة  ,   6 فصوص ثوم مهروسين  ,   2 معلقة   زعتر  ,  1 ملعقة صلصة طماطم  ,   ملح وفلفل ,   رشه كركم  ,   2 معلقة   زيت زيتون  ,  1 ملعقه سماق  ,   عصير ليمون او 1 ملعقة خل      ","      تبلي قطع ومكعبات الدجاج بالتتبيلة بعد ما نخلطها كلها مع بعضها واتركيه في التتبيلة ليلة كاملة أو على الأقل 6 ساعات  ,   انقعي الأسياخ الخشبية في مياه لمدة ساعة لمنعها من الاحتراق ثم تغرز فيها قطع الدجاج  ,   ضعي بالتبادل مع الدجاج فلفل أخضر وطماطم وبصل مقطعين مكعبات  ,   يمكنكِ تشويهم علي الجريل ويمكنكِ وضعهم على البوتجاز من فوق وقومي بتغطيتهم قليلاً حتي يتصفي الدهون.  ,   ادخليهم الفرن وبعد نصف ساعة ارفعي الغطاء واتركيهم حتي يتحمر الوجه من أعلي .    ",https://www.supermama.me/system/App/Entities/Recipe/images/000/032/735/mobile-watermarked-large-card/%25D9%2588%25D8%25B5%25D9%2581%25D8%25A9-%25D8%25A7%25D9%2584%25D8%25B4%25D9%258A%25D8%25B4-%25D8%25B7%25D8%25A7%25D9%2588%25D9%2588%25D9%2582.jpg
1,      مكرونة بالدجاج والمشروم          ,غداء,4,30,867,مكرونة,"           250 جم  مكرونة بالشكل الذي تفضلينه  ,       250 جم  مشروم طازج أو علبة مشروم محفوظ  ,      500 جم دجاج مخلي صدور أو أوراك حسب الرغبة أو الاثنين  ,        فلفل ملون أو 200 جم  من كل لون أحمر وأصفر وبرتقالي وأخضر  ,        500 جم  ذرة  ,        2 ملعقة دقيق  ,        2 ملعقة زيت  ,  250 جم حليب  ,        250 مكرونة بالشكل الذي تفضلينه  ,        250جم  مشروم طازج أو علبة مشروم محفوظ  ,       500 جم دجاج مخلي صدور أو أوراك حسب الرغبة أو الاثنين  ,        فلفل ملون أو 200 جم  من كل لون أحمر وأصفر وبرتقالي وأخضر  ,      500 جم ذرة  ,        2 ملعقة دقيق  ,         2 ملعقة زيت  ,        250 مل حليب      ","       اسلقي المكرونة، وأضيفي بعض الملح وملعقة زيت للماء  ,   قطعي المشروم إلى حلقات رفيعة، والفلفل الملون إلى حلقات رفيعة وقصيرة  ,    قطعي الدجاج إلى مكعبات وتبليه بالملح والفلفل والليمون والبهارات واتركيه لمدة ساعة، ثم رشي عليه ملعقة دقيق.  ,    شوحي المشروم في ملعقة زيت على نار متوسطة في مقلاة عميقة ثم ارفعيه وفي المقلاة نفسها أضيفي ملعقة زيت أخرى وشوحي الدجاج ثم ارفعيه.  ,     في نفس المقلاة بعد الانتهاء، ضعي ملعقة زيت ثانية ثم ملعقة دقيق وحمريها قليلًا ثم أضيفي الحليب وقلبي مثلما تعدين البشمايل ولكن اجعلي الصوص خفيفًا أكثر من البشاميل  ,    أضيفي الدجاج والمشروم والفلفل والذرة على الصوص ثم المكرونة وقلبي جيدًا.  ,    قدميها وزينيها بمبشور جبن الموتزاريلا أو الشيدر.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/051/487/mobile-watermarked-large-card/%25D9%2585%25D9%2583%25D8%25B1%25D9%2588%25D9%2586%25D8%25A9-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25AF%25D8%25AC%25D8%25A7%25D8%25AC-%25D9%2588-%25D8%25A7%25D9%2584%25D9%2585%25D8%25B4%25D8%25B1%25D9%2588%25D9%2585.jpg
2,      اللازانيا        ,غداء,4,30,427.1,مكرونة," 2 ملعقة كبيرة زيت   ,   خضروات   ,  100 جم بصل مفروم   ,   2 جزر مبشورة   ,   1 فص ثوم   ,   1 ملعقة صغيرة ريحان جاف   ,   1 ملعقة صغيرة زعتر جاف ملح وفلفل   ,   700 جم  رافيولي مجمدة   ,     250 جم  صلصة مكرونة جاهزة  ,    250 جرام جبن جودة شرائح   ,  100 جم جبن بارميزان مبشورة      ","      سخني الفرن.   ,   سخني الزيت في إناء يصلح للإستخدام في الفرن على نار مرتفعة.   ,   حمري البصل والجزر والثوم والأعشاب حتى يصبح البصل شفاف لمدة ٣ دقائق حثم احفظي الخليط جانبا.   ,   قومي برص الرافيولي المجمد في الاناء وانثري عليه خليط البصل.   ,   فرغي صوص المكرونة عليه بالتساوي.   ,   سخني الإناء على نار متوسطة بدون تقليب حتى يصبح الرفيولي بني اللون من الأسفل، حوالي ١٠ دقائق.   ,   ارفعي الاناء عن النار ثم افردي عليه قطع الجبن .   ,   اطبخي اللازانيا في وسط الفرن لمدة ١٠ دقائق حتى تذوب الجبن      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/020/399/mobile-watermarked-large-card/%25D9%2588%25D8%25B5%25D9%2581%25D8%25A9-%25D8%25A7%25D9%2584%25D9%2584%25D8%25A7%25D8%25B2%25D8%25A7%25D9%2586%25D9%258A%25D8%25A7-%25D8%25A7%25D9%2584%25D9%2583%25D8%25B3%25D9%2588%25D9%2584%25D8%25A9_0.jpg
3,      المكرونة بالبشاميل          ,غداء,8,60,379.81,مكرونة,"500 جم مكرونة مقصوصة  ,   30 جم دقيق  ,   1000 مل حليب  ,   12.5 جم سمن أو زبد  ,   250 جم عصاج اللحم المفروم  ,   25 جم جبن مبشور مشكل      ","      في إناء على النار، سخني السمن جيدًا.  ,   أضيفي الدقيق وقلبيه لمدة 2-3 دقائق، واحرصي على ألا يصبح لونه بنيًّا.  ,   أضيفي الحليب تدريجيًّا مع التقليب المستمر حتى يتماسك قوام الخليط.  ,   أضيفي الجبن وقلبيه، ثم ارفعي الإناء عن النار.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/011/207/mobile-watermarked-large-card/%25D8%25B7%25D8%25B1%25D9%258A%25D9%2582%25D8%25A9-%25D8%25B9%25D9%2585%25D9%2584-%25D8%25A7%25D9%2584%25D9%2585%25D9%2583%25D8%25B1%25D9%2588%25D9%2586%25D8%25A9-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B4%25D8%25A7%25D9%2585%25D9%258A%25D9%2584.jpg
4,      أرز بالكبد والقوانص          ,غداء,4,40,624,كبد و قوانص,"      500 جم كبد وقوانص  ,  300 جم  أرز  ,   2 كوب ماء  ,   مكعب مرق دجاج  ,   بصلة مبشورة  ,   ملح وفلفل أسود  ,   كمون وبهارات حسب الرغبة  ,  1 ملعقة زبد  ,   فص ثوم  ,   نصف ليمونة  ,   مكسرات وصنوبر حسب الرغبة      ","      ضعي الزبد على النار، ثم أضيفي البصل وشوحيه ثم الثوم المفروم وقلبيه حتى يصبح لونهما ذهبيًا  ,   أضيفي الكبد والقوانص وقلبي بحرص حتى لا تتقطع  ,   قسمي الكمية لنصفين جزء للزينة وجزء اتركيه في الوعاء نفسه  ,   أضيفي التوابل والبهارات والليمون مع كوبين من الماء ومكعب مرق الدجاج  ,   اتركي المزيج يغلي  ,   ضعي الأرز وقلبي واتركيه على نار متوسطة حتى يغلي ثم اتركيه على نار هادئة جدًا حتى ينضج  ,    في وعاء آخر حمري المكسرات والصنوبر للزينة  ,   قدميه ساخنًا وزينيه بالكبد والقوانص والمكسرات بجانب سلاطة خضراء أو أي نوع من أنواع السلاطات والمخللات أو بجانب طبق رئيسي آخر.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/051/488/mobile-watermarked-large-card/%25D8%25A3%25D8%25B1%25D8%25B2-%25D8%25A8%25D8%25A7%25D9%2584%25D9%2583%25D8%25A8%25D8%25AF-%25D9%2588%25D8%25A7%25D9%2584%25D9%2582%25D9%2588%25D8%25A7%25D9%2586%25D8%25B5_0.jpg
6,      صينية بطاطس بالفراخ          ,غداء,4,45,274,دجاج ," 1000 جم بطاطس  ,   دجاجة مقطعة إلى أربع قطع أو ثماني قطع  ,   4 جزرات  اختياري   ,   ليمونة  ,   2 بصلة كبيرة مقطعة شرائح  ,   6 فصوص ثوم كبيرة  ,   ملح وفلفل أسود وكمون وبهارات وورق لاورى  ,   200 جم مرقة دجاج أو ماء إن لم تقومي بسلق الدجاج قبلها  , 1 ملعقة زبد      ","      تبلي الدجاج بالبصل والثوم والبهارات والملح والفلفل والليمون لساعة تقريبًا  ,   قطعي البطاطس والجزر إلى شرائح متوسطة السمك  ,    اخلطيها مع خلطة الخضار والتتبيلة واتركيها لعشر دقائق  ,   رصيها في صينية بحيث يكون الخضار في الأسفل والدجاج أعلاه  ,    أذيبي الزبد في المرق أو اغلي الماء وأضيفي إليه مع مكعب مرق دجاج  ,    أضيفي السوائل واتركي الصينية على النار لعشر دقائق حتى تغلي  ,    أدخليها فرن متوسط الحرارة لمدة ساعة حتى تنضج وتابعيها إن احتاجت بعض الماء أوالمرق  ,   قدميها مع الأرز الأبيض      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/051/484/mobile-watermarked-large-card/%25D8%25B5%25D9%258A%25D9%2586%25D9%258A%25D8%25A9-%25D8%25A8%25D8%25B7%25D8%25A7%25D8%25B7%25D8%25B3-%25D8%25A8%25D8%25A7%25D9%2584%25D9%2581%25D8%25B1%25D8%25A7%25D8%25AE.jpg
7,      دجاج تكا مشوي          ,غداء,8,60,66,دجاج ," دجاجتين كبيرتين مغسولتين و مقطعتين الى اربع قطع .. و منزوعة الجلد .   ,   70 جم الزبادي خالي الدسم   ,   2 معلقة   كبيرتين من الزعتر الجاف   ,   2 معلقة   كبيرتين من البابريكا   ,   1 ملعقة كبيرة من الزنجبيل المبشور   ,   2 معلقة   كبيرة من الثوم المدقوق ناعما   ,   4 معلقة  كبيرة من الخل   ,  1 ملعقة صغيرة من مسحوق الحبهان  , 1  ملعقة صغيرة من مسحوق الكمون   ,   1 ملعقة صغيرة من مسحوق الكزبرة الجافة   ,   ملح و فلفل حسب الرغبة   ,   4 معلقة  كبيرة من صلصة الطماطم   ,   2 معلقة   كبيرتين من زيت الزيتون      ","      تشرح قطع الدجاج بواسطة سكين حاد , الى ان تصل السكين الى العظم بالطول و بالعرض لمساعدتها على التشرب من التتبيلة و سهولة النضج.  ,   تمزج مكونات التتبيلة مع بعض لى ان تتجانس و تترك ترتاح مدة 15 دقيقة لتتناغم النكهات .  ,   تتبل قطع الدجاج بالتتبيلة المحضرة و تدعك جيدا , ثم توضع في وعاء زجاجي و تترك ترتاح ليلة كاملة ( او على الاقل 3 ساعات ) .  ,   تشوى في فرن حار على شبك او صينية مغلفة بورق الخبيز الى ان تتحمر مدة 45-5  ,   0 دقيقة . انصح بتغطيتها بورق الفويل , بعد خروجها من الفرن مباشرة لاعادة توزيع السوائل بداخلها و طراوتها .      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/027/919/mobile-watermarked-large-card/%D8%AF%D8%AC%D8%A7%D8%AC-%D8%AA%D9%83%D8%A7-%D9%85%D8%B4%D9%88%D9%8A.jpg
8,      ديك رومي مشوي في الفرن          ,غداء,6,180,400,ديك," ديك كامل  6000 – 8000 جم   ,   200 جم زبد مُذاب.  ,   250 مل عصير برتقال.  ,   بصلة كبيرة مقطعة شرائح رفيعة.  ,   3 ثمرات كرفس مقطعة شرائح.  ,   25 جم زعتر طازج مفروم.  ,   2 ملعقة كبيرة روزماري طازج مفروم.  ,  1 ملعقة كبيرة  ثوم مفروم.  ,  1 ملعقة صغيرة  بابريكا.  , 1  ملعقة صغيرة  السبعة بهارات.  ,  1 ملعقة صغيرة  كاري.  ,   ملح وفلفل أسود.      ","      في وعاء كبير، ضعي الماء والسكر والملح وعصير ثمرة الليمون مع القشر الخاص بها، وقلبي جيدًا.  ,   اغسلي الديك تحت الماء الجاري جيدًا من الداخل والخارج، ثم ضعيه في ماء النقع، واتركيه لمدة 90 دقيقة جانبًا.  ,   ارفعي الديك من ماء النقع، واغسليه جيدًا تحت الماء الجاري، ثم اتركيه جانبًا.  ,   سخني الفرن عند درجة حرارة 220 درجة مئوية لمدة 30 دقيقة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/627/mobile-watermarked-large-card/113627_1639386633.jpg
9,      لفائف الباذنجان بالمكرونة          ,غداء,6,30,401,مكرونة,"     400 جم  إسباجتي مسلوقة   ,   3 ثمرات باذنجان مقطعة شرائح طولية.  ,  300 جم جبن موتزاريلا أو شيدر مبشور.  ,   2 ملعقة كبيرة  زيت نباتي.  ,   4 ثمرات طماطم مقشرة ومقطعة.  ,   بصلة مفرومة ناعمًا.  ,   2 فص ثوم مفرومان ناعمًا.  ,   2 ملعقة كبيرة  صلصة طماطم.  ,   ملح وفلفل أسود.  ,   بقدونس مفروم للتزيين.      ","      سخني الفرن عند درجة حرارة 180 درجة مئوية.  ,   سخني ملعقة من الزيت على نار هادئة، ثم حمري شرائح الباذنجان على الجانبين وارفعيها عن النار.  ,   سخني ملعقة الزيت الأخرى في قدر آخرـ ثم أضيفي البصل وقلبي حتى يكتسب لونًا ذهبيًّا.  ,   أضيفي الثوم و قلبي، ثم أضيفي الطماطم والصلصة والملح والفلفل الأسود، وقلبي مرة أخرى، واتركي المكونات على النار حتى تتسبك الصلصة.  ,   اخلطي نصف مزيج الصلصة مع المكرونة المسلوقة في وعاء مناسب، واحشي شرائح الباذنجان بالمكرونة ولفيها، وثبتيها بأعواد أسنان.  ,   ادهني صينية فرن بجزء من مزيج الصلصة، ثم رصي لفائف الباذنجان بالمكرونة في، وغطيها بباقي مزيج الصلصة.  ,   وزعي الجبن الموتزاريلا أو الشيدر على الوجه، وأدخلي الصينية الفرن مدة 15 دقيقة ثم أخرجيها.  ,   ضعي لفائف الباذنجان بالمكرونة في طبق التقديم، وزينيها بالبقدونس.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/113/655/mobile-watermarked-large-card/113655_1639396625.jpg
10,      كبسة الفريك          ,غداء,4,90,800,دجاج و فريك,"   1200 جم دجاج مقطعة 4 قطع.  ,   300 جم فريك.  ,   750 مل ماء.  ,   200 جم  بصل متوسطة الحجم مقطعة أرباع.  ,   3 فصوص ثوم.  ,   150 جم بصل مفروم.  ,   200 جم طماطم مفرومة.  ,   3 رؤوس حبهان ""هيل"".  ,   عود قرفة.  ,   3 ورقات لورا ""غار"".  ,   حبة لومي أسود.  ,   1 ملعقة كبيرة  بهارات كبسة.  ,   ملح وفلفل أسود حسب الرغبة.  ,   2 ملعقة كبيرة  سمن.  ,  1 ملعقة كبيرة معجون طماطم.      ","      افرزي الفريك من الشوائب، ثم اغسليه وانقعيه في الماء 60 دقيقة، ثم صفيه جيدًا من الماء.  ,   اغسلي الدجاج جيدًا، ثم ضعيه في القدر مع الثوم وثمرة بصل مقطعة أرباع والحبهان وورقتين غار وفلفل أسود.  ,   غطي القدر، واتركي الدجاج على نار متوسطة 45 دقيقة حتى ينضج، ثم انتشليه من المرق.  ,   في قدر على نار متوسطة، ضعي ملعقة كبيرة سمن، ثم أضيفي البصل وقلبي حتى يصفر لونه.  ,   أضيفي عود قرفة وورقة لورا وحبة لومي أسود، ثم قلبي حتى تفوح رائحتهم.  ,   أضيفي الفريك وبهارات الكبسة، وقلبيه مع البصل والبهارات خمس دقائق، ثم أضيفي الطماطم المفرومة، واتركيه على النار خمس دقائق أخرى.  ,   أضيفي المرق إلى الفريك، ثم تبليه بالملح والفلفل الأسود، ثم غطي القدر، واتركيها على نار هادئة حتى ينضج الفريك.  ,   اخلطي ملعقة كبيرة سمن مع ملعقة كبيرة معجون طماطم وقليل من الملح والفلفل الأسود، ثم ادهني الدجاج به، وحمريه في الفرن.  ,   اغرفي الفريك في طبق التقديم، ثم رصي الدجاج فوقه، ثم قدمي كبسة الفريك ساخنة.      ",https://www.supermama.me/system/App/Entities/Recipe/images/000/112/178/mobile-watermarked-large-card/%D9%83%D8%A8%D8%B3%D8%A9-%D8%A7%D9%84%D9%81%D8%B1%D9%8A%D9%83.jpg
